"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"EU-28","64,9814607873","70,965183566","78,7227248961","72,2572828668","85,1881669253","63,9720904632","35,6263473004","63,2273308876","93,0625932016","78,4398468181","70,0068066948","72,4710507423","67,5425626474","87,8887333866","94,8547376093","80,9227291639","62,8489513675","70,3617463038","77,9030724889","62,8204201186","56,1383265125","56,1383265125","68,9059709883","72,6483123762","78,8419711859","66,4546535666","65,3564092893","67,1403862442","63,5724323344","43,5348591865","48,2617995394","45,7888560786","47,857325366","51,1392171737","31,8181392325","29,8383277284","33,7979507366","53,7320169229","76,5925236102","58,3695546509","26,2339725076","87,1843126619","91,0815498009","87,2338019369","94,9172655897","91,0935818762","75,3725480799","77,2640496373","73,4810465225","96,5320290398","96,5136855684","96,5503725112"
"BE","70,1877692866","72,846315789","75,4102176987","69,2408077474","81,57962765","70,3695849976","41,9653992245","73,095196951","96,0481588172","85,6217963284","78,5529766","81,4515025161","75,654450684","93,3267245088","95,3673221362","91,2861268813","70,6271306301","72,5365678181","85,0085020614","60,0646335748","68,7679570606","68,7679570606","71,8004841677","75,6758460411","81,2282029004","70,1234891819","68,1235796678","72,1889789617","64,0581803739","50,4519300792","69,9962051158","55,8368678268","76,5581844759","77,5935630446","35,9558823643","25,2129774354","46,6987872931","51,0256927362","77,5935630446","52,3867608546","23,0967543096","86,3741179872","93,4270763239","92,0078987904","95,2852098883","92,9881202928","70,3181868621","75,9061291187","64,7302446055","98,0867747219","98,9016815457","97,271867898"
"BG","56,9487770309","68,7123244606","81,9799382586","79,5606154736","84,3992610436","57,5919381384","25,133117303","55,5996355598","92,0430615523","60,4991363403","44,237423858","44,2603151934","44,2145325226","82,7386673706","91,2262867626","74,2510479786","51,9000189941","54,5935276308","61,0569372639","48,1301179978","49,3394013628","49,3394013628","47,376033168","56,5878978511","74,8212516141","38,3545440882","39,6637550425","39,7787995707","39,5487105144","49,4441901347","53,3825014996","67,1384899362","44,0701052165","48,938909346","32,6955841898","28,881977256","36,5091911237","69,2560600309","85,4029860331","83,7367761358","38,6284179239","75,7934050494","88,4050042774","84,4014135758","90,3483973282","90,4652019282","52,3224336203","72,4302541733","32,2146130672","94,1303058688","93,799168677","94,4614430606"
"CZ","56,7406296789","65,2559275758","79,8748953072","77,1355357338","82,6142548806","53,3125717086","24,4378903086","44,897246559","90,6025782582","74,0240382072","55,8450765926","53,9197470124","57,7704061728","98,1207040411","98,4857552123","97,7556528699","57,6922858847","66,3365228622","63,511722904","69,1613228204","50,1744696133","50,1744696133","55,5404426616","59,4391789531","80,8902835078","37,9880743985","51,8974323901","59,971815767","43,8230490132","31,993990568","31,7460722927","18,8449896029","40,0573503958","36,3358768794","28,9763123487","29,9737191858","27,9789055116","35,6018135943","58,1396778957","34,106516677","14,5592462102","85,747235449","88,9808818503","82,3509542422","93,3426737502","91,2490175584","72,2703846937","79,412244545","65,1285248424","98,0400014374","98,2467624057","97,8332404691"
"DK","75,5987272204","79,7496720895","88,2586642368","82,3990366691","94,1182918046","72,0610294001","48,5386542464","69,3158468269","98,3285871271","85,735107186","80,4091459078","82,3094017245","78,5088900912","91,4138375829","97,5983823978","85,229292768","71,2958421821","80,5071311543","76,2686181287","84,7456441798","63,1384703389","63,1384703389","85,4059616217","85,5206476876","87,2990659361","83,7422294391","85,2914293537","92,9948979462","77,5879607611","57,4918613589","76,0618916105","84,2849260151","76,4628427692","67,4379060471","45,5537536605","37,2499946248","53,8575126961","54,8438353122","72,7368032604","57,8176554197","33,9770472564","90,1675181734","92,6165832064","91,6390367028","95,8553378571","90,3553750592","81,689143723","70,4513834139","92,9269040321","96,8940813086","96,5162947474","97,2718678698"
"DE","64,9108688233","70,5583355201","80,20165692","71,3844364128","89,0188774271","62,074511956","38,0636213147","53,4094265849","94,7504879684","83,9655677284","78,1190942821","77,9519516965","78,2862368676","90,2495942732","94,1205893324","86,378599214","57,0674179328","62,7028182005","67,0880886093","58,3175477917","51,9384978694","51,9384978694","67,7947254577","66,069940604","66,6563936988","65,4834875092","69,5645365786","59,849571579","79,2795015782","45,9534114471","59,8638601107","54,20122912","63,1871811017","62,2031701103","33,0194331359","33,8089796371","32,2298866346","49,0929288363","70,4860857072","45,5806851324","31,2120156694","89,4055285064","90,2409165088","86,7013463551","95,9600902964","88,0613128748","80,8822280831","73,3157846785","88,4486714878","97,9121349897","97,1794669797","98,6448029998"
"EE","53,4504328413","71,386199433","87,6663598792","82,6894056323","92,643314126","58,1293608691","25,4596663614","54,2052264184","94,7231898274","64,9302281578","50,1727602121","49,1692719273","51,1762484968","84,0283554425","93,7699956631","74,2867152219","53,8370075314","70,4954659459","73,2692817642","67,7216501277","41,1150325917","41,1150325917","70,0746940305","73,0386044971","68,0234610651","78,053747929","67,2310592088","74,0093999633","60,4527184544","22,0019656019","33,6969079603","13,9110873402","35,6742634349","51,5053731058","22,6779319094","13,3012840415","32,0545797773","13,9376946418",1,"22,1482737881","18,6648101372","82,084701125","83,2203033945","76,5524648336","89,7639185662","83,3445267835","70,1494951273","65,6305696026","74,6684206519","94,7398775843","94,2783794109","95,2013757578"
"IE","67,685833177","73,6805071715","77,3031997651","73,8709669635","80,7354325668","70,2275863554","35,3539535283","80,9401378121","94,3886677258","84,3716642026","80,6742147103","85,2123746524","76,1360547682","88,2385746906","95,7573699727","80,7197794084","67,7424179699","74,0234592582","85,8198042032","62,2271143132","61,9943358282","61,9943358282","76,5442179427","81,6313111938","81,8637822791","81,3988401085","71,7741417452","80,6159773755","62,9323061148","40,6883843955","37,0457741326","35,1421804607","36,6825542513","39,3125876857","25,3502565373","19,4660388847","31,2344741899","71,7282613869","98,0396558969","85,16492842","31,9801998437","90,4226015607","96,4537961056","99,7012133414","96,0809046606","93,5792703149","79,0301457048","72,3678139647","85,692477445","96,9881971767","97,943234988","96,0331593654"
"EL","50,055128255","63,6198569423","69,3536699241","61,6719654759","77,0353743722","58,36008681","39,5974060012","51,4594132148","84,0234412139","71,1027192847","62,6764933107","67,8180327773","57,5349538441","80,6617668385","91,3178578058","70,0056758713","54,2582701147","60,7429843413","70,322359619","51,1636090636","48,4658419036","48,4658419036","45,1898949289","55,098179951","73,4811824991","36,7151774029","37,0634130837","39,6107209271","34,5161052403","22,3246030886","30,7194696508","20,9712670402","37,6015677245","33,5855741876","15,328684128","14,0769502689","16,5804179872","23,6283094591","21,8090341086","32,3195184305","16,7563758381","83,9053200403","93,5442506586","91,5830123934","95,3810565494","93,668683033","66,6175672692","80,2167022481","53,0184322903","94,7900222602","93,8596368505","95,72040767"
"ES","67,3592136305","72,3018777009","77,5382689645","69,9076156931","85,1689222359","67,4191156043","36,1438330408","77,9502352512","88,1632785208","75,9658810922","69,6476621744","68,7999225031","70,4954018456","82,8572691453","93,5916080558","72,1229302348","64,2493619158","72,9521625759","83,1296107287","62,7747144232","56,584758571","56,584758571","65,7818967806","71,4354497588","76,4804624176","66,3904371001","60,5757779738","80,1661714711","40,9853844765","52,8662888518","69,6634307368","55,4521000648","70,9179359264","82,6202562192","35,8077423257","24,4588514071","47,1566332444","59,2317651974","86,7729641411","65,005761456","25,916569995","89,121424963","93,6006396335","91,312212631","96,1408777469","93,3488285227","78,6196434157","86,451381438","70,7879053933","96,1914517279","96,9753319027","95,4075715532"
"FR","68,8862600965","71,8977848967","81,4204718758","76,5146854033","86,3262583484","63,4888419823","41,4310193925","55,6666979583","93,368808596","83,6572427752","77,2269637551","73,3184820259","81,1354454843","90,6229369699","96,6015697674","84,6443041724","62,3773514978","69,6685105254","79,4947241664","59,8422968844","55,849248829","55,849248829","70,3379775446","78,4851617054","85,1610115822","71,8093118285","63,0365151522","71,4690705297","54,6039597748","55,0893914037","70,8302289269","77,7467470927","42,7039531406","92,0399865473","43,2035491069","46,4480678875","39,9590303263","54,6343591554","69,6517676547","53,8327371816","40,4185726299","86,8254861001","91,6478933545","87,8186716217","95,4414049239","91,6836035178","73,9688377504","80,2571587299","67,6805167709","96,5540263675","97,1796968595","95,9283558756"
"HR","52,5815877871","68,3193683856","75,5344977415","70,8426674686","80,2263280145","61,7934352669","27,8042565803","66,6559910871","90,9200581333","68,8732565837","55,679947294","61,8988900721","49,461004516","85,1927076618","92,4955257818","77,8898895418","48,4533097869","58,6916302568","63,036258809","54,3470017046","40,0009885401","40,0009885401","54,6512348352","63,9030204977","77,4912737397","50,3147672556","46,7389091431","42,2569336187","51,2208846676","27,309550683","40,0467099126","28,669157194","47,0399464584","44,4310260853","22,1797282398","30,4558945985","13,9035618811","22,9308736903","53,6795115891",1,"14,1131094817","82,7883869147","85,6676866435","73,8319400757","92,3949487743","90,7761710804","68,2904351966","82,906481532","53,6743888611","96,9909788353","95,8946552373","98,0873024333"
"IT","56,5461465482","62,4319182813","66,6503171009","60,8958034052","72,4048307966","58,4805082681","32,3895156162","59,2200901483","83,8319190398","78,7351325532","72,8479801445","73,9334765741","71,7624837149","85,0980505688","92,624472896","77,5716282416","56,7368633409","54,3685335775","53,7714729952","54,9655941599","59,2083591362","59,2083591362","61,4029483761","67,6398998546","81,7062118314","53,5735878778","55,7410947886","61,8596002427","49,6225893344","29,3808429246","35,8284503439","37,439699079","44,6282122195","25,4174397332","14,8186300787","18,3398298798","11,2974302775","47,7701574727","64,1889674141","63,1201459512","16,0013590526","86,4953720196","91,322625865","86,2584274433","96,6158682757","91,0935818762","74,2240725054","89,6182590279","58,8298859828","95,4674764625","96,1037555874","94,8311973376"
"CY","50,5954501874","68,8968994337","83,4156704151","82,5444580802","84,2868827501","56,9051681531","30,095846536","57,2385143959","83,3811435276","81,7040755467","76,4012308423","71,1951689497","81,6072927348","87,3749792686","93,9149599422","80,8349985951","58,1895210738","73,2379512882","88,211289507","58,2646130695","46,2331387381","46,2331387381","45,9075468524","52,7132125391","68,8138746234","36,6125504548","39,9805429511","33,1866797841","46,7744061181","17,4270406243","30,2189047443","34,3931309264","22,3562185254","33,9073647811","6,8019244695","12,6038489389",1,"25,7490022957","47,4964175481","21,435446525","8,3151428141","87,1492769927","94,412680657","94,5517057275","96,2049963119","92,4813399317","73,0022064519","76,7061438922","69,2982690115","96,0340069916","97,0791529243","94,9888610589"
"LV","56,2419252824","74,2941092199","86,9103172326","81,9637138313","91,856920634","63,509314435","30,8312762475","68,310839037","91,3858280206","59,5512317006","43,5151306104","40,7673964565","46,2628647644","81,4969218133","93,9379930555","69,055850571","48,7891978428","62,1617929238","61,8224145889","62,5011712588","38,2933907498","38,2933907498","60,8275322024","75,1451780894","74,9343054228","75,3560507559","49,2378721817","51,805857315","46,6698870484","37,8671074988","43,7397150903","53,1954478688","38,0828891072","39,9408082948","42,104655453","47,586406508","36,622904398","29,4835877423","63,3520929033",1,"24,0986703237","77,8995115522","80,4526046887","68,8048146306","88,1212307733","84,4317686622","65,4744913524","66,5901953093","64,3587873955","89,7412183419","90,1237690933","89,3586675905"
"LT","54,1559547707","72,6032315973","86,7501281893","83,2280708056","90,272185573","60,7633596446","30,7820748397","58,98165249","92,526351604","64,3022750188","48,377935837","48,8909221674","47,8649495066","85,4683545515","93,8236781809","77,1130309222","54,7362358116","66,2099073926","70,8317085345","61,5881062508","45,2508639388","45,2508639388","55,7192791947","74,4784954696","81,8295197284","67,1274712109","41,6850267235","45,2888226246","38,0812308224","27,7399954517","34,8359733807","28,9971372525","36,8047220288","38,706060861","13,8666628723","26,7333257445",1,"44,1895164742","56,1173257208","58,2933565564","18,1578671455","79,5929865555","79,6714631674","65,7955976188","87,4305429617","85,7882489218","64,7538423585","66,8144798292","62,6932048878","97,73633877","98,0963049549","97,3763725852"
"LU","65,93677495","72,5442715931","77,7172911762","74,7708047803","80,663777572","67,7155786225","43,7128387421","61,3984317945","98,0354653308","92,1334229188","91,5795496508","88,6267734942","94,5323258075","92,6906460132","96,600020845","88,7812711814","68,6998063049","78,5952423464","81,9603682064","75,2301164864","60,0502428064","60,0502428064","71,4841380039","74,8389914016","85,0488516866","64,6291311166","68,2796746784","76,0834774449","60,4758719119","34,8911321702","47,5838064608","53,0123042569","45,4540842526","44,285030873","12,5296932477","16,8690446225","8,1903418729","71,2435524411","90,000444924","90,000444924","33,7297674752","90,0160444676","94,4311956034","92,8184277498","96,2703890213","94,2047700392","78,4595301031","71,4062131807","85,5128470254","98,4461153973","98,2472193795","98,6450114152"
"HU","51,7890743197","66,4365033478","76,934483875","73,8530878513","80,0158798987","57,3710091337","29,7848409167","48,4979630821","93,8302234022","69,8387873948","52,4953253134","54,8648677822","50,1257828445","92,9122011466","96,9895161371","88,8348861561","54,3392427604","59,6435634653","63,7911836349","55,4959432956","49,5066547373","49,5066547373","55,1988145709","71,5590114659","84,3452997179","58,7727232139","42,5789717831","43,9867934873","41,1711500789","21,9364459258","15,8667203093","12,2068823348","16,8043091639","18,5889694291","30,9848529368","14,1509342581","47,8187716156","21,4714904539",1,"45,8063307021","17,6081406597","85,8594929114","85,8731362101","77,7145452908","90,7791582563","89,1257050833","76,7668291007","84,3168705883","69,2167876131","96,0138824119","95,374373043","96,6533917807"
"MT","57,8466403163","68,2418830751","63,1931583084","59,8411112203","66,5452053964","73,6939683077","42,3059298938","82,9537744468","95,8222005824","80,5601268878","69,5280451814","70,0408756532","69,0152147096","93,3426795942","96,2108734989","90,4744856895","66,2923618305","60,2369316795","62,7311539667","57,7427093924","72,9565254162","72,9565254162","58,6546162627","57,9257982092","69,7109193402","46,1406770782","59,3926042503","66,5973892702","52,1878192303","25,0217668547","29,0851622759","24,0216121003","21,0780361497","42,1558385777","21,9382778124","6,1555425841","37,7210130407","24,5516054586","30,835406185","25,2242927534","17,5951174373","91,5504387642","95,2593715859","91,5882370012","96,0481930742","98,1416846823","81,6978035535","82,387057609","81,008549498","98,5968856535","98,7508833071","98,4428879999"
"NL","73,9997257266","76,2349340696","78,637044977","65,7348735949","91,5392163592","73,9061999887","37,3301836009","92,6112883827","91,7771279826","86,9715680026","77,6058094467","76,7540763925","78,4575425009","97,4676212355","98,7540896258","96,1811528452","66,9499629192","77,9513973777","78,6613510186","77,2414437367","57,5011826044","57,5011826044","86,7035687518","77,9721191875","84,3778295837","71,5664087913","96,4127807816","97,9599590987","94,8656024646","56,6061992772","65,961293653","57,2333424564","74,6327163579","66,0178221446","41,7809415581","41,3657826879","42,1961004283","65,8149567724","65,3661131522","81,7073890567","50,3713681083","89,7320151544","91,8113123652","91,0395988632","96,6876578901","87,7066803423","79,2888731495","84,1147936597","74,4629526394","99,2507556629","99,4024470216","99,0990643042"
"AT","61,3405281161","75,5799149266","80,9092606679","73,6439410367","88,1745802991","70,6016034895","35,577091454","81,8811863066","94,3465327079","83,6222827411","75,8077882786","69,9251677404","81,6904088168","92,2423187594","95,5989835564","88,8856539624","59,9135216438","61,78853988","55,2908708793","68,2862088807","58,0954022014","58,0954022014","65,2606576654","61,0096180247","64,0674797104","57,951756339","69,8079020458","65,4608692764","74,1549348151","30,7755910838","60,3240602184","64,7500889154","55,5799202687","60,642171471","11,8320993776","22,6641987552",1,"40,8382228884","57,8828978132","38,3576830734","26,2740877788","91,5366704656","91,6946272394","89,882652839","95,689222962","89,5120059172","84,6209053111","80,5600386333","88,6817719888","98,8470647932","99,4024596353","98,2916699511"
"PL","56,8555606692","66,5506434794","78,3266346889","75,0948121546","81,5584572231","56,5451096567","25,385029164","53,5706995321","90,6796002741","70,3341277113","56,2345165451","57,7151047377","54,7539283524","87,9689170431","95,4750031641","80,4628309221","56,5426163539","61,5485572099","64,1276516978","58,969462722","51,9438246657","51,9438246657","55,2640284251","65,6472446223","76,6244530077","54,6700362368","46,5230925586","51,4550658993","41,5911192178","34,7863926568","43,4573987616","45,3361713955","39,6780376863","45,3579872029","33,8452715059","22,3325558089","45,3579872029","28,6197908058","39,6510052849","40,516379482","5,6919876505","81,7056064866","85,8793113792","78,4380346273","91,020554596","88,1793449141","67,8851520475","76,5499038823","59,2204002127","93,5604335541","91,5568914102","95,563975698"
"PT","54,4307269363","71,3956185153","84,1236961163","78,3802022422","89,8671899904","60,5933236235","30,4736715142","63,6746824344","87,631616922","71,7324396429","60,684783788","61,3617559423","60,0078116336","84,7913196015","94,2833762526","75,2992629505","54,8774179194","59,0757868733","54,5162062821","63,6353674645","50,9774165846","50,9774165846","45,989138993","69,472066803","85,9756932602","52,9684403457","30,4439036098","35,5110505387","25,3767566808","29,7091001429","42,3587779911","29,0857310557","54,358872371","43,6317305466","12,5501390238","13,0690087186","12,031269329","49,3260721316","61,7387375374","61,7387375374","24,5007413198","84,391266211","84,5837038878","67,63830793","94,6792638093","91,4335399239","75,4696801584","85,2842384286","65,6551218882","94,1528132436","97,2306124989","91,0750139883"
"RO","51,1647500985","67,7675933337","78,5218520416","75,9853195023","81,0583845809","58,4862250041","22,1632201087","57,6861529293","95,6093019744","59,2105488847","42,7244327611","49,0522155549","36,3966499673","82,0581777838","92,7811843167","71,335171251","50,2262686968","52,6596573063","56,4395479531","48,8797666594","47,9053263209","47,9053263209","53,1596500409","78,1415165855","79,867132355","76,415900816","36,1644938051","31,5557623455","40,7732252646","28,8011754176","26,4507347107","30,3681304695","20,1732664398","28,8108072229","20,3510645544","19,1613095544","21,5408195543","44,3818871984","56,8298485093","55,6560069375","20,6598061485","70,1901922597","88,4597992579","86,726323552","90,2884118247","88,364662397","42,4624760498","57,4673608249","27,4575912747","92,0614967817","91,4132289854","92,709764578"
"SI","66,0582546008","71,3039557995","83,6936620474","80,7197535955","86,6675704993","60,7483767382","25,4539248002","65,2776776077","91,5135278068","81,2720440212","68,3374625166","69,4612143626","67,2137106705","96,6548200087","95,6553999869","97,6542400305","54,930518472","67,0732226233","66,2123563901","67,9340888566","44,9860874666","44,9860874666","72,3654733741","72,3285725084","86,8278900137","57,8292550031","72,402393066","84,4870028707","60,3177832613","51,4639121158","46,2505164579","53,2397522112","42,2551610649","43,2566360976","56,3686027239","34,2850815723","78,4521238755","52,2822818501","84,0717194692","60,3769570496","12,3981690316","87,3000410177","87,9155607774","82,6379251879","94,5824031195","86,5263540247","75,8686277586","79,2540678283","72,4831876889","99,750564852","99,9006896567","99,6004400473"
"SK","52,42885986","64,8871121488","78,8431993815","76,3343837562","81,3520150068","53,401401212","22,25920065","42,5716318689","95,3733711171","72,0564341554","53,8858822195","51,4784004018","56,2933640371","96,3541745878","97,819162804","94,8891863717","59,5616621802","58,7936507735","61,3152811521","56,2720203949","60,3397059887","60,3397059887","43,4324401798","62,4898605025","75,3556898908","49,6240311142","30,1869270439","36,4393728411","23,9344812466","25,4227724347","28,389433485","22,5477921458","33,1714667212","29,449041588","23,7292231566","32,2669669592","15,191479354","24,3909369306","31,9535534744","21,5507407164","19,6685166012","84,9546539638","86,1025673156","82,2278312064","91,2791622399","84,8007085004","73,0513608024","77,3378458411","68,7648757637","97,4803577624","96,8224367177","98,1382788071"
"FI","74,4159627401","74,8035615583","89,2055918117","84,7286610169","93,6825226064","62,7267047745","33,7195990915","59,361955109","95,0985601229","84,8147379824","76,1973543613","75,0754907856","77,3192179371","94,4066869424","96,4882806991","92,3250931857","59,530995598","79,4715456102","80,8140589792","78,1290322413","44,5938154301","44,5938154301","81,0081252586","85,9845918639","86,0830022415","85,8861814863","76,3196779291","81,5810016014","71,0583542568","73,1548377705","86,2998650548","92,534931449","82,2417497571","84,1229139583","61,9667036934","53,9386808403","69,9947265466","73,2083541834","90,6815840961","87,0600278083","41,8834506457","89,3080343221","90,1975934288","88,660249348","95,0180524858","86,9144784527","81,91646634","70,4603847496","93,3725479305","96,4063036808","95,9516976699","96,8609096917"
"SE","79,7222705742","81,3791135278","93,8311367754","91,4152758247","96,2469977261","70,5795575558","40,0885288651","75,681560936","95,9685828663","85,2809726226","77,4401646151","76,9435311712","77,936798059","93,915661564","94,7021371034","93,1291860247","70,9220311887","75,5758479808","75,1746684072","75,9770275545","66,554787572","66,554787572","83,4612345046","82,6202310676","82,942659034","82,2978031012","84,3107986388","92,7337367429","75,8878605348","75,2499757281","92,9986808579","98,3306833971","87,6819512464","92,9834079301","52,5843228497","50,6727771054","54,495868594","87,1336724004","81,672463433","95,7267672386","84,0017865295","93,0490928947","95,6841986687","96,3793672826","96,9984977281","93,6747309953","89,3494882847","85,8533492113","92,8456273581","94,233242983","92,798193566","95,6682924001"
"UK","68,8740237015","75,3649691825","81,5963755794","74,2365651141","88,9561860447","69,6094469828","41,0998688613","71,7174080316","96,0110640556","80,4777600693","75,0676366074","74,7901119855","75,3451612293","86,2777910492","95,7571866908","76,7983954076","73,4504327165","81,7406619041","93,8672588799","69,6140649284","66,0010078285","66,0010078285","73,1693460082","80,8044315473","80,665953374","80,9429097206","66,2556878719","75,4553273919","57,0560483519","41,9575335358","45,7399404609","34,0684181063","43,1470713142","60,0043319623","22,9996381395","34,3764989667","11,6227773124","70,2123085964","76,2727626768","93,7905188735","40,5736442388","93,6700034027","94,3465086898","93,0216063858","96,5641621176","93,4537575661","88,4871681716","84,0285823384","92,9457540048","98,4454112692","98,5497498024","98,341072736"
